Index,Cluster
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,4
24,4
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,4
39,0
40,0
41,0
42,4
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,4
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,4
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,4
96,0
97,0
98,0
99,0
100,0
101,4
102,0
103,4
104,0
105,4
106,0
107,4
108,0
109,0
110,0
111,0
112,0
113,4
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,4
151,0
152,0
153,0
154,0
155,0
156,0
157,4
158,4
159,4
160,0
161,4
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,4
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,4
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,4
197,4
198,0
199,0
200,0
201,0
202,4
203,0
204,0
205,0
206,0
207,0
208,4
209,0
210,4
211,0
212,0
213,4
214,0
215,0
216,4
217,0
218,0
219,0
220,0
221,4
222,0
223,0
224,0
225,0
226,4
227,0
228,0
229,0
230,0
231,0
232,4
233,0
234,4
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,4
254,4
255,0
256,0
257,0
258,4
259,0
260,0
261,0
262,0
263,4
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,4
272,0
273,0
274,0
275,0
276,4
277,4
278,4
279,0
280,0
281,4
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,4
294,4
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,4
304,0
305,0
306,4
307,4
308,0
309,0
310,0
311,0
312,0
313,4
314,0
315,0
316,4
317,0
318,0
319,0
320,0
321,0
322,4
323,0
324,0
325,0
326,4
327,0
328,0
329,0
330,4
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,4
340,0
341,0
342,4
343,0
344,0
345,0
346,4
347,0
348,0
349,4
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,4
360,4
361,0
362,4
363,0
364,0
365,0
366,0
367,0
368,4
369,0
370,4
371,0
372,0
373,4
374,4
375,4
376,4
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,4
385,0
386,0
387,0
388,0
389,0
390,4
391,0
392,0
393,0
394,0
395,0
396,4
397,0
398,4
399,0
400,4
401,4
402,0
403,0
404,0
405,4
406,0
407,0
408,4
409,0
410,4
411,0
412,4
413,0
414,0
415,0
416,0
417,0
418,0
419,4
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,4
428,0
429,4
430,4
431,4
432,4
433,0
434,0
435,0
436,0
437,4
438,4
439,0
440,0
441,0
442,4
443,4
444,0
445,4
446,0
447,0
448,0
449,0
450,4
451,0
452,0
453,0
454,0
455,4
456,4
457,0
458,0
459,0
460,0
461,0
462,0
463,4
464,0
465,4
466,0
467,0
468,4
469,4
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,4
487,4
488,4
489,4
490,0
491,4
492,4
493,0
494,0
495,0
496,4
497,0
498,0
499,0
500,0
501,0
502,4
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,4
511,0
512,0
513,0
514,4
515,0
516,0
517,4
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,4
526,0
527,0
528,0
529,0
530,4
531,4
